name,Total_amount
ACRE,3.26796E5
ALAGOAS,1.49583E5
AMAPÁ,1.102095E5
AMAZONAS,9.14559E5
BAHIA,6.74433E5
CEARÁ,3.46698E5
DISTRITO FEDERAL,6.0657E4
ESPÍRITO SANTO,3.44916E5
GOIÁS,3.25449E5
MARANHÃO,6.6078E4
MATO GROSSO,2.01141E5
MATO GROSSO DO SUL,2.87949E5
MINAS GERAIS,1.126002E6
PARANÁ,1.68915E5
PARAÍBA,1.983E4
PARÁ,3.64101E5
PERNAMBUCO,1.28334E5
PIAUÍ,3.0225E4
RIO DE JANEIRO,3.19056E5
RIO GRANDE DO NORTE,7.4556E4
RIO GRANDE DO SUL,1.876725E6
RONDÔNIA,3.60588E5
RORAIMA,3.162525E5
SANTA CATARINA,1.5192735E6
SERGIPE,1.56555E4
SÃO PAULO,1.44723E6
TOCANTINS,1.11414E5
